date,open,high,low,close,volume
201810021225,26959,26968,26950,26950,15499
201810021230,26955,26959,26950,26950,5765
201810021235,26950,26950,26937,26937,35268
201810021240,26937,26946,26928,26937,3086
201810021245,26932,26937,26919,26919,25162
201810021250,26923,26928,26919,26919,15326
201810021255,26919,26928,26914,26923,33976
201810021300,26923,26932,26919,26932,24184
201810021305,26932,26932,26919,26923,22928
201810021310,26919,26946,26914,26941,12752
201810021315,26941,26941,26928,26932,31314
201810021320,26928,26937,26923,26923,27828
201810021325,26923,26937,26914,26928,65716
201810021330,26928,26932,26923,26923,12823
201810021335,26928,26932,26923,26928,6278
201810021340,26928,26941,26919,26932,38989
201810021345,26937,26946,26923,26923,31234
201810021350,26923,26923,26901,26901,50551
201810021355,26901,26910,26883,26896,20866
201810021400,26892,26896,26874,26874,15436
201810021405,26874,26878,26865,26878,24954
201810021410,26878,26878,26860,26860,10036
201810021415,26860,26865,26833,26851,43195
201810021420,26851,26851,26820,26838,74121
201810021425,26838,26842,26802,26815,22848
201810021430,26811,26833,26811,26824,48307
201810021435,26824,26838,26815,26820,37134
201810021440,26829,26829,26815,26829,20140
201810021445,26829,26842,26820,26838,57101
201810021450,26838,26838,26815,26829,64293
201810021455,26824,26824,26797,26811,149581
201810021500,26811,26815,26802,26806,67952
201810021505,26811,26815,26770,26775,72496
201810021510,26775,26779,26752,26757,78985
201810021515,26752,26779,26752,26766,104428
201810021520,26766,26775,26757,26766,25579
201810021530,26770,26770,26770,26770,46822
201810040905,26806,26806,26694,26703,87806
201810040910,26698,26703,26640,26644,81730
201810040915,26640,26658,26626,26649,18075
201810040920,26653,26653,26608,26613,49090
201810040925,26613,26631,26608,26613,45689
201810040930,26613,26613,26581,26586,51190
201810040935,26586,26613,26572,26577,56824
201810040940,26581,26581,26550,26550,42389
201810040945,26550,26554,26536,26545,118260
201810040950,26550,26563,26541,26563,65723
201810040955,26563,26568,26545,26563,43856
201810041000,26563,26568,26536,26541,70216
201810041005,26536,26536,26482,26491,112038
201810041010,26487,26500,26482,26491,34947
201810041015,26491,26505,26455,26455,88905
201810041020,26455,26491,26455,26473,15561
201810041025,26473,26482,26460,26460,30383
201810041030,26455,26473,26455,26469,12447
201810041035,26469,26469,26442,26446,75686
201810041040,26446,26496,26446,26496,36464
201810041045,26487,26509,26478,26496,80039
201810041050,26491,26496,26469,26496,48854
201810041055,26496,26496,26469,26478,111772
201810041100,26478,26478,26442,26446,55191
201810041105,26446,26455,26428,26428,75524
201810041110,26428,26433,26406,26415,64826
201810041115,26419,26424,26392,26401,82998
201810041120,26397,26401,26370,26374,34559
201810041125,26383,26392,26374,26383,23856
201810041130,26388,26455,26388,26442,88253
201810041135,26442,26482,26437,26482,14658
201810041140,26482,26491,26455,26455,36175
201810041145,26464,26473,26446,26460,35211
201810041150,26460,26464,26437,26442,18663
201810041155,26437,26469,26437,26451,41045
201810041200,26451,26473,26451,26464,49881
201810041205,26464,26473,26446,26451,16079
201810041210,26455,26460,26446,26451,16026
201810041215,26451,26460,26433,26433,11157
201810041220,26428,26446,26424,26437,6077
201810041225,26437,26442,26428,26433,6062
201810041230,26437,26437,26415,26419,11365
201810041235,26415,26415,26401,26415,11105
201810041240,26415,26415,26392,26392,46566
201810041245,26392,26392,26370,26370,32855
201810041250,26370,26406,26370,26397,21474
201810041255,26392,26397,26374,26397,15441
201810041300,26392,26401,26379,26379,11468
201810041305,26374,26379,26352,26365,29947
201810041310,26365,26365,26329,26352,62794
201810041315,26352,26383,26334,26379,67102
201810041320,26379,26401,26365,26388,26849
201810041325,26397,26401,26361,26370,34304
201810041330,26370,26406,26361,26406,32466
201810041335,26401,26401,26383,26388,51408
201810041340,26388,26392,26374,26383,65111
201810041345,26388,26388,26356,26356,50706
201810041350,26361,26365,26352,26365,70913
201810041355,26365,26365,26334,26338,112660
201810041400,26338,26370,26338,26365,56628
201810041405,26365,26365,26329,26356,124444
201810041410,26356,26361,26338,26343,79173
201810041415,26343,26343,26307,26329,75900
201810041420,26334,26356,26320,26356,47979
201810041425,26352,26374,26347,26352,125479
201810041430,26352,26361,26338,26343,95288
201810041435,26338,26352,26338,26352,104668
201810041440,26343,26361,26329,26338,67501
201810041445,26334,26374,26334,26347,141004
201810041450,26343,26370,26343,26347,109009
201810041455,26347,26365,26347,26356,133122
201810041500,26352,26374,26343,26370,84048
201810041505,26365,26374,26356,26370,188638
201810041510,26370,26370,26343,26356,270111
201810041515,26356,26374,26343,26352,98565
201810041520,26356,26356,26325,26329,108325
201810041530,26356,26356,26356,26356,79053
201810050905,26316,26365,26289,26289,232223
201810050910,26289,26298,26230,26271,105290
201810050915,26271,26334,26257,26334,66175
201810050920,26325,26392,26325,26365,102559
201810050925,26365,26392,26365,26383,66661
201810050930,26388,26415,26370,26392,59148
201810050935,26401,26406,26379,26392,68413
201810050940,26397,26397,26370,26370,58446
201810050945,26370,26370,26325,26338,122129
201810050950,26338,26361,26334,26347,49110
201810050955,26347,26370,26334,26365,92146
201810051000,26365,26388,26361,26365,28689
201810051005,26365,26370,26347,26347,55538
201810051010,26343,26356,26329,26338,50956
201810051015,26343,26356,26320,26347,66675
201810051020,26347,26356,26334,26352,61503
201810051025,26347,26352,26316,26316,48999
201810051030,26311,26311,26275,26293,61728
201810051035,26293,26329,26266,26325,105779
201810051040,26325,26365,26325,26361,162745
201810051045,26361,26361,26320,26325,62574
201810051050,26320,26329,26289,26293,76500
201810051055,26289,26307,26280,26284,45163
201810051100,26284,26289,26271,26280,41949
201810051105,26289,26293,26262,26293,64037
201810051110,26289,26293,26257,26257,14571
201810051115,26253,26266,26194,26203,59027
201810051120,26199,26217,26190,26208,26202
201810051125,26217,26230,26208,26208,43381
201810051130,26208,26208,26163,26167,26368
201810051135,26181,26190,26145,26145,92615
201810051140,26145,26185,26140,26185,35207
201810051145,26185,26248,26185,26248,79783
201810051150,26244,26266,26239,26262,14765
201810051155,26262,26280,26253,26266,43230
201810051200,26266,26266,26248,26257,3924
201810051205,26257,26257,26235,26248,9518
201810051210,26248,26248,26235,26239,23088
201810051215,26235,26239,26217,26221,20577
201810051220,26221,26235,26208,26230,29672
201810051225,26230,26266,26217,26257,70390
201810051230,26253,26253,26221,26226,62814
201810051235,26226,26230,26212,26221,21590
201810051240,26226,26257,26226,26257,30752
201810051245,26257,26257,26226,26230,17369
201810051250,26230,26235,26221,26221,16432
201810051255,26226,26230,26212,26217,24542
201810051300,26217,26221,26217,26221,2939
201810051305,26221,26244,26221,26244,16000
201810051310,26244,26253,26230,26253,27075
201810051315,26248,26298,26244,26289,64676
201810051320,26289,26316,26284,26311,59017
201810051325,26316,26320,26293,26298,54998
201810051330,26302,26302,26271,26280,31340
201810051335,26284,26298,26280,26293,12939
201810051340,26293,26298,26275,26298,41701
201810051345,26298,26316,26289,26307,68414
201810051350,26307,26329,26307,26325,54069
201810051355,26325,26329,26298,26302,166026
201810051400,26302,26302,26289,26293,32719
201810051405,26298,26311,26298,26307,4345
201810051410,26302,26302,26248,26262,411127
201810051415,26257,26284,26248,26266,96920
201810051420,26266,26311,26262,26311,129358
201810051425,26311,26320,26298,26307,195270
201810051430,26307,26311,26293,26302,80622
201810051435,26302,26307,26280,26307,43672
201810051440,26307,26320,26293,26307,107063
201810051445,26307,26325,26293,26325,82242
201810051450,26325,26343,26316,26316,86283
201810051455,26316,26316,26289,26293,123183
201810051500,26289,26302,26275,26289,72476
201810051505,26293,26329,26284,26325,101920
201810051510,26325,26325,26293,26311,158091
201810051515,26311,26343,26311,26329,154187
201810051520,26338,26338,26316,26325,93813
201810051530,26316,26316,26316,26316,68484
201810080905,26194,26253,26176,26217,138069
201810080910,26212,26226,26190,26217,99032
201810080915,26217,26253,26217,26235,38978
201810080920,26235,26271,26235,26253,85337
201810080925,26253,26280,26253,26280,61925
201810080930,26280,26280,26262,26271,57731
201810080935,26271,26289,26271,26275,103217
201810080940,26275,26275,26239,26262,42945
201810080945,26266,26293,26262,26293,10360
201810080950,26293,26302,26271,26298,54032
201810080955,26302,26302,26275,26289,18094
201810081000,26293,26298,26280,26280,21312
201810081005,26280,26298,26262,26289,26467
201810081010,26293,26388,26284,26388,64411
201810081015,26388,26392,26347,26356,77766
201810081020,26356,26374,26352,26370,32219
201810081025,26370,26379,26347,26347,38045
201810081030,26356,26356,26334,26343,34546
201810081035,26352,26383,26307,26307,48049
201810081040,26311,26365,26311,26352,33076
201810081045,26347,26356,26325,26338,11931
201810081050,26334,26338,26329,26334,27000
201810081055,26338,26352,26311,26325,25941
201810081100,26320,26320,26262,26262,28613
201810081105,26257,26293,26248,26289,47785
201810081110,26284,26293,26280,26293,20165
201810081115,26289,26293,26266,26266,8656
201810081120,26266,26275,26217,26226,61097
201810081125,26226,26271,26226,26262,26550
201810081130,26262,26262,26244,26244,15336
201810081135,26239,26244,26221,26239,24875
201810081140,26239,26244,26221,26244,29520
201810081145,26239,26248,26217,26226,35261
201810081150,26230,26239,26221,26235,37679
201810081155,26235,26244,26226,26244,39920
201810081200,26244,26244,26221,26226,49304
201810081205,26221,26235,26217,26221,43130
201810081210,26221,26257,26221,26253,35184
201810081215,26257,26266,26253,26266,19370
201810081220,26266,26284,26253,26262,28642
201810081225,26262,26266,26248,26248,6422
201810081230,26248,26248,26235,26244,6125
201810081235,26244,26248,26239,26239,30861
201810081240,26239,26244,26226,26226,5785
201810081245,26230,26235,26212,26221,18828
201810081250,26217,26235,26217,26230,9359
201810081255,26230,26230,26208,26221,30463
201810081300,26221,26230,26212,26217,21195
201810081305,26217,26221,26199,26217,23902
201810081310,26217,26221,26212,26217,7214
201810081315,26217,26239,26212,26221,8235
201810081320,26217,26226,26212,26226,4708
201810081325,26226,26230,26221,26226,5274
201810081330,26230,26235,26217,26235,21748
201810081335,26230,26253,26230,26244,45770
201810081340,26244,26244,26221,26221,19297
201810081345,26226,26230,26217,26226,29650
201810081350,26230,26235,26217,26221,58004
201810081355,26221,26226,26212,26221,4164
201810081400,26217,26226,26203,26203,17649
201810081405,26208,26239,26199,26221,120994
201810081410,26221,26253,26212,26248,22392
201810081415,26248,26253,26239,26248,38384
201810081420,26244,26248,26230,26239,42587
201810081425,26239,26253,26235,26248,32143
201810081430,26248,26253,26230,26253,29490
201810081435,26248,26248,26230,26239,46637
201810081440,26235,26253,26235,26235,18211
201810081445,26244,26253,26239,26253,60920
201810081450,26253,26275,26244,26275,60720
201810081455,26280,26280,26248,26257,57781
201810081500,26257,26262,26248,26253,58677
201810081505,26257,26257,26230,26235,87835
201810081510,26235,26239,26226,26230,88287
201810081515,26226,26230,26212,26221,81370
201810081520,26221,26221,26199,26199,111083
201810081530,26185,26185,26185,26185,28409
201810100905,26230,26244,26181,26194,165774
201810100910,26190,26212,26190,26203,51835
201810100915,26203,26203,26158,26181,82434
201810100920,26176,26181,26158,26181,34704
201810100925,26176,26208,26176,26199,14547
201810100930,26199,26199,26086,26086,108350
201810100935,26086,26109,26046,26055,158617
201810100940,26055,26073,26042,26046,64572
201810100945,26046,26073,26033,26055,124959
201810100950,26055,26068,26042,26064,53646
201810100955,26064,26145,26037,26127,255134
201810101000,26131,26176,26127,26172,99902
201810101005,26172,26176,26109,26122,155310
201810101010,26122,26158,26118,26140,65450
201810101015,26140,26145,26118,26122,35808
201810101020,26118,26167,26118,26167,68125
201810101025,26167,26185,26149,26158,25906
201810101030,26154,26167,26145,26158,40883
201810101035,26154,26208,26149,26176,51614
201810101040,26176,26185,26127,26131,57365
201810101045,26131,26163,26122,26158,25357
201810101050,26167,26181,26149,26176,46079
201810101055,26176,26176,26149,26154,49763
201810101100,26154,26154,26122,26127,42460
201810101105,26136,26149,26100,26104,48687
201810101110,26109,26127,26104,26109,32817
201810101115,26113,26118,26104,26118,25915
201810101120,26118,26127,26086,26100,28795
201810101125,26095,26100,26046,26051,61810
201810101130,26055,26064,26037,26064,33174
201810101135,26064,26064,26028,26060,44579
201810101140,26060,26073,26037,26051,52591
201810101145,26051,26064,26037,26037,39595
201810101150,26037,26046,26006,26037,73777
201810101155,26042,26060,26019,26028,27937
201810101200,26028,26046,26019,26028,30063
201810101205,26033,26051,26015,26037,10674
201810101210,26028,26046,26024,26042,21722
201810101215,26042,26046,26015,26015,10015
201810101220,26010,26037,26010,26019,108425
201810101225,26010,26037,26010,26028,22809
201810101230,26024,26024,25992,25997,101024
201810101235,25992,25997,25961,25961,29259
201810101240,25961,25979,25947,25947,74112
201810101245,25947,25961,25925,25956,57937
201810101250,25956,25979,25956,25965,37872
201810101255,25965,25992,25965,25988,92002
201810101300,25979,25992,25979,25983,18790
201810101305,25988,26019,25983,25988,42050
201810101310,25992,26015,25992,26010,28301
201810101315,26010,26019,25988,25997,26631
201810101320,25988,26006,25988,25992,33295
201810101325,25992,26010,25988,25988,65629
201810101330,25992,26037,25988,26028,52298
201810101335,26024,26046,26015,26015,20871
201810101340,26015,26024,25997,26006,16660
201810101345,26006,26010,25983,26001,15660
201810101350,26001,26001,25965,25974,32876
201810101355,25974,26001,25974,25997,42212
201810101400,25997,26010,25983,25988,95073
201810101405,25992,26010,25983,26010,115940
201810101410,26010,26010,25983,25988,115330
201810101415,25988,26010,25979,25997,56344
201810101420,25997,26051,25997,26051,150475
201810101425,26051,26091,26046,26091,110620
201810101430,26091,26100,26068,26068,58556
